,ID,PERFORMANCE_INDEX,EMISSIONS_CO2,URBAN_CONSUMPTION,DISPLACEMENT,CAPACITY,PISTON_COUNT,BLENDED_CONSUMPTION,GEARBOX_TYPE,OUTPUT,BODY_STYLE,EFFICIENCY_RATIO,YEARS_IN_SERVICE,MILEAGE,HIGHWAY_USAGE,ENERGY_SOURCE,EFFICIENCY_RATING
0,0,74.59558811,149.0,8.3,2.0,5.0,4.0,7.9,Manual,87.0,COMPACT,1.6,10.0,17.0,5.6,Petrol,39.0
1,1,62.33835715,262.0,22.5,3.6,15.0,6.0,16.5,Automatic,163.0,SUV - SMALL,1.52,10.0,19.0,12.3,Petrol,23.0
2,2,72.10559217,204.0,11.7,2.8,5.0,6.0,10.0,Automatic,172.0,MID-SIZE,1.59,10.0,18.0,10.4,Gas,30.0
3,3,86.70610413,301.0,23.4,5.7,14.0,8.0,13.9,Automatic,286.0,PICKUP TRUCK - STANDARD,1.42,10.0,19.0,13.6,Petrol,28.0
4,4,104.7939852,375.0,20.5,2.2,5.0,4.0,11.9,Manual,118.0,MID-SIZE,1.54,10.0,19.0,9.7,Petrol,26.0
5,5,128.8223976,287.0,8.4,2.4,5.0,4.0,9.3,Automatic,116.0,COMPACT,1.36,10.0,17.0,7.2,Gas,40.0
6,6,69.61626275,344.0,17.7,4.5,5.0,8.0,17.5,Manual,254.0,COMPACT,1.51,10.0,17.0,13.0,Gas,18.0
7,7,61.15211792,172.0,4.6,1.2,5.0,4.0,7.1,Automatic,67.0,MID-SIZE,1.27,10.0,14.0,8.2,Diesel,42.0
8,8,109.6440725,184.0,8.0,1.7,5.0,4.0,7.6,Automatic,81.0,COMPACT,1.45,10.0,15.0,4.9,Petrol,28.0
9,9,156.3473514,253.0,6.7,2.5,2.0,4.0,8.0,Manual,67.0,TWO-SEATER,1.23,10.0,17.0,7.0,Gas,42.0
10,10,68.31605687,301.0,12.2,3.6,5.0,6.0,12.3,Automatic,174.0,MID-SIZE,1.39,10.0,19.0,9.9,Gas,25.0
11,11,86.18169771,328.0,20.0,3.0,5.0,4.0,10.1,Automatic,108.0,COMPACT,1.37,10.0,17.0,10.3,Gas,21.0
12,12,66.05719683,320.0,25.9,4.3,13.0,8.0,22.5,Automatic,279.0,FULL-SIZE,1.65,10.0,24.0,14.0,Petrol,22.0
13,13,68.00754294,228.0,7.3,2.4,5.0,4.0,6.7,Automatic,109.0,COMPACT,1.42,10.0,19.0,7.5,Petrol,27.0
14,14,87.50322142,289.0,9.2,2.4,13.0,6.0,14.9,Automatic,271.0,MID-SIZE,0.87,10.0,19.0,7.4,Petrol,28.0
15,15,68.90227771,225.0,11.6,2.2,5.0,4.0,10.0,Automatic,98.0,SUV - SMALL,1.35,10.0,17.0,8.0,Petrol,45.0
16,16,65.80453121,278.0,12.6,3.4,5.0,6.0,12.7,Manual,179.0,MINICOMPACT,1.43,10.0,18.0,10.4,Petrol,29.0
17,17,114.6934916,187.0,8.5,1.7,5.0,4.0,8.1,Manual,81.0,TWO-SEATER,1.5,10.0,18.0,6.7,Gas,33.0
18,18,69.23221744,307.0,20.1,3.6,2.0,6.0,8.1,Automatic,163.0,MINIVAN,1.49,10.0,19.0,12.1,Petrol,21.0
19,19,94.41668475,302.0,11.2,1.5,5.0,5.0,9.5,Manual,147.0,COMPACT,1.54,10.0,21.0,9.0,Gas,31.0
20,20,104.1672542,278.0,13.3,2.7,4.0,4.0,11.9,Automatic,152.0,SUBCOMPACT,1.44,10.0,16.0,6.9,Gas,22.0
21,22,59.48003761,318.0,18.0,3.6,5.0,6.0,13.0,Automatic,172.0,MID-SIZE,1.47,10.0,19.0,10.2,Petrol,24.0
22,23,114.9131695,268.0,13.0,2.9,4.0,6.0,10.8,Automatic,176.0,MINICOMPACT,1.35,10.0,15.0,10.5,Petrol,28.0
23,24,105.6103449,392.0,11.8,7.0,12.0,11.0,11.3,Automatic,345.0,SPECIAL PURPOSE VEHICLE,1.06,10.0,21.0,9.9,Petrol,14.0
24,25,110.0926469,265.0,12.9,3.6,5.0,6.0,13.8,Automatic,153.0,STATION WAGON - SMALL,1.46,10.0,19.0,7.9,Petrol,22.0
25,26,208.4750555,135.0,9.9,1.4,17.0,4.0,9.0,Manual,124.0,SUV - SMALL,1.22,10.0,17.0,6.2,Petrol,37.0
26,27,209.1437509,237.0,8.2,1.3,5.0,4.0,8.0,Manual,103.0,MID-SIZE,1.3,10.0,19.0,6.6,Petrol,37.0
27,28,70.20097494,348.0,15.2,5.8,7.0,8.0,12.8,Automatic,282.0,SUV - STANDARD,1.39,10.0,23.0,13.4,Gas,15.0
28,29,97.54366739,178.0,8.6,2.1,5.0,4.0,11.0,Automatic,122.0,MID-SIZE,1.4,10.0,16.0,8.1,Gas,33.0
29,30,103.7725287,396.0,20.8,4.9,4.0,6.0,18.5,Automatic,378.0,SUV - STANDARD,1.3,10.0,25.0,13.4,Petrol,24.0
30,31,108.3625275,236.0,5.9,1.8,5.0,4.0,7.9,Manual,100.0,STATION WAGON - SMALL,1.08,10.0,17.0,5.8,Petrol,34.0
