ID,PERFORMANCE_INDEX,EMISSIONS_CO2,URBAN_CONSUMPTION,DISPLACEMENT,CAPACITY,PISTON_COUNT,BLENDED_CONSUMPTION,GEARBOX_TYPE,OUTPUT,BODY_STYLE,EFFICIENCY_RATIO,YEARS_IN_SERVICE,MILEAGE,HIGHWAY_USAGE,ENERGY_SOURCE,EFFICIENCY_RATING
0,74.59558811,149,8.3,2,5,4,7.9,Manual,87,COMPACT,1.6,10,17,5.6,Petrol,39
1,62.33835715,262,22.5,3.6,15,6,16.5,Automatic,163,SUV - SMALL,1.52,10,19,12.3,Petrol,23
2,72.10559217,204,11.7,2.8,5,6,10,Automatic,172,MID-SIZE,1.59,10,18,10.4,Gas,30
3,86.70610413,301,23.4,5.7,14,8,13.9,Automatic,286,PICKUP TRUCK - STANDARD,1.42,10,19,13.6,Petrol,28
4,104.7939852,375,20.5,2.2,5,4,11.9,Manual,118,MID-SIZE,1.54,10,19,9.7,Petrol,26
5,128.8223976,287,8.4,2.4,5,4,9.3,Automatic,116,COMPACT,1.36,10,17,7.2,Gas,40
6,69.61626275,344,17.7,4.5,5,8,17.5,Manual,254,COMPACT,1.51,10,17,13,Gas,18
7,61.15211792,172,4.6,1.2,5,4,7.1,Automatic,67,MID-SIZE,1.27,10,14,8.2,Diesel,42
8,109.6440725,184,8,1.7,5,4,7.6,Automatic,81,COMPACT,1.45,10,15,4.9,Petrol,28
9,156.3473514,253,6.7,2.5,2,4,8,Manual,67,TWO-SEATER,1.23,10,17,7,Gas,42
10,68.31605687,301,12.2,3.6,5,6,12.3,Automatic,174,MID-SIZE,1.39,10,19,9.9,Gas,25
11,86.18169771,328,20,3,5,4,10.1,Automatic,108,COMPACT,1.37,10,17,10.3,Gas,21
12,66.05719683,320,25.9,4.3,13,8,22.5,Automatic,279,FULL-SIZE,1.65,10,24,14,Petrol,22
13,68.00754294,228,7.3,2.4,5,4,6.7,Automatic,109,COMPACT,1.42,10,19,7.5,Petrol,27
14,87.50322142,289,9.2,2.4,13,6,14.9,Automatic,271,MID-SIZE,0.87,10,19,7.4,Petrol,28
15,68.90227771,225,11.6,2.2,5,4,10,Automatic,98,SUV - SMALL,1.35,10,17,8,Petrol,45
16,65.80453121,278,12.6,3.4,5,6,12.7,Manual,179,MINICOMPACT,1.43,10,18,10.4,Petrol,29
17,114.6934916,187,8.5,1.7,5,4,8.1,Manual,81,TWO-SEATER,1.5,10,18,6.7,Gas,33
18,69.23221744,307,20.1,3.6,2,6,8.1,Automatic,163,MINIVAN,1.49,10,19,12.1,Petrol,21
19,94.41668475,302,11.2,1.5,5,5,9.5,Manual,147,COMPACT,1.54,10,21,9,Gas,31
20,104.1672542,278,13.3,2.7,4,4,11.9,Automatic,152,SUBCOMPACT,1.44,10,16,6.9,Gas,22
22,59.48003761,318,18,3.6,5,6,13,Automatic,172,MID-SIZE,1.47,10,19,10.2,Petrol,24
23,114.9131695,268,13,2.9,4,6,10.8,Automatic,176,MINICOMPACT,1.35,10,15,10.5,Petrol,28
24,105.6103449,392,11.8,7,12,11,11.3,Automatic,345,SPECIAL PURPOSE VEHICLE,1.06,10,21,9.9,Petrol,14
25,110.0926469,265,12.9,3.6,5,6,13.8,Automatic,153,STATION WAGON - SMALL,1.46,10,19,7.9,Petrol,22
26,208.4750555,135,9.9,1.4,17,4,9,Manual,124,SUV - SMALL,1.22,10,17,6.2,Petrol,37
27,209.1437509,237,8.2,1.3,5,4,8,Manual,103,MID-SIZE,1.3,10,19,6.6,Petrol,37
28,70.20097494,348,15.2,5.8,7,8,12.8,Automatic,282,SUV - STANDARD,1.39,10,23,13.4,Gas,15
29,97.54366739,178,8.6,2.1,5,4,11,Automatic,122,MID-SIZE,1.4,10,16,8.1,Gas,33
30,103.7725287,396,20.8,4.9,4,6,18.5,Automatic,378,SUV - STANDARD,1.3,10,25,13.4,Petrol,24
31,108.3625275,236,5.9,1.8,5,4,7.9,Manual,100,STATION WAGON - SMALL,1.08,10,17,5.8,Petrol,34
32,76.84858609,226,6.9,2.6,5,6,8,Manual,119,STATION WAGON - SMALL,1.66,10,16,8.8,Diesel,34
33,64.45711901,283,18.3,3.6,7,6,18.3,Automatic,166,FULL-SIZE,1.35,10,19,14.1,Gas,26
34,62.71836123,178,13.9,3.3,5,4,12,Automatic,130,SUV - SMALL,1.32,10,20,7.3,Petrol,32
35,160.7899467,218,10.1,1.3,16,4,7.7,Manual,83,TWO-SEATER,1.25,10,17,8.2,Petrol,60
36,108.6873764,191,9.1,2.4,14,4,7.6,Automatic,99,SUV - STANDARD,1.32,10,18,7.2,Petrol,27
37,101.1497763,228,10.9,3,5,4,8.9,Automatic,113,COMPACT,1.22,10,17,5.2,Gas,35
38,108.2569883,251,14.6,4.6,2,4,10.9,Automatic,157,COMPACT,1.47,10,18,10.1,Gas,21
39,57.21516111,433,30.2,5.8,15,8,25.4,Automatic,378,SUV - STANDARD,1.61,10,26,15,Gas,12
40,83.28713964,390,23.3,4.6,5,8,19.7,Automatic,367,MID-SIZE,1.7,10,21,14.7,Gas,11
41,61.60439727,215,10.6,3.4,5,6,10.5,Manual,153,MID-SIZE,1.54,10,17,5.9,Diesel,26
42,106.0135044,375,12,3.5,7,11,21.1,Automatic,236,MID-SIZE,1.49,10,19,13.2,Gas,14
43,93.57113624,250,10.9,3.6,14,6,12.2,Automatic,162,SUV - SMALL,1.25,10,19,9.3,Petrol,24
44,106.112987,217,8.3,2.6,5,4,9.8,Manual,92,SUV - SMALL,1.34,10,21,7.9,Petrol,33
45,71.91960442,270,9.7,2.8,8,6,7.9,Automatic,170,FULL-SIZE,1.46,10,16,9.7,Petrol,24
46,68.15799169,296,18.5,3.5,5,6,12.5,Automatic,177,FULL-SIZE,1.64,10,16,8.8,Gas,19
47,125.4026733,232,7.4,2.2,5,4,7.9,Automatic,84,COMPACT,1.33,10,18,7.1,Gas,35
48,107.2198244,295,12.5,3.2,5,6,10,Automatic,111,COMPACT,1.52,10,24,8.5,Petrol,27
49,80.39261806,339,18.4,4.7,17,11,14.6,Automatic,325,SUV - STANDARD,1.67,10,19,14.6,Gas,16
50,62.19873633,305,17,4.4,5,8,12.9,Automatic,151,COMPACT,1.31,10,21,11.1,Gas,19
51,83.00564754,318,13.2,3.5,5,6,12.6,Automatic,253,COMPACT,1.1,10,18,19.1,Gas,20
52,72.19368115,324,22.2,5.4,5,8,13.9,Automatic,269,MID-SIZE,1.6,10,17,9.7,Gas,28
53,108.756602,211,10.6,2.6,5,6,12.8,Automatic,187,COMPACT,1.24,10,26,8.5,Petrol,28
54,84.5914471,391,30.2,6.9,2,8,24.5,Manual,378,TWO-SEATER,1.49,10,24,13.9,Petrol,12
55,63.7021466,402,13.4,5,5,10,9.1,Automatic,294,PICKUP TRUCK - STANDARD,1.28,10,22,13.9,Petrol,21
56,87.24934553,159,10.3,2.3,5,4,5.6,Automatic,84,MID-SIZE,1.37,10,12,4.9,Gas,49
57,107.7410318,197,9.8,2.3,5,4,9.2,Automatic,108,MID-SIZE,1.57,10,18,5.4,Gas,32
58,78.79190857,329,22.1,3.5,4,6,14.6,Automatic,301,VAN - CARGO,1.55,10,29,10.8,Petrol,11
59,82.54248569,218,7.1,1.9,5,4,5.8,Automatic,79,COMPACT,1.4,10,16,7.3,Petrol,30
60,56.70495472,345,22.5,4.4,7,8,25.3,Automatic,323,SUV - STANDARD,1.54,10,19,16.8,Gas,11
61,66.32390591,266,14.9,3.7,5,6,11.3,Automatic,378,SUV - STANDARD,1.43,10,23,13.3,Petrol,17
62,56.60318732,330,28.4,6.6,17,10,21.1,Automatic,378,VAN - PASSENGER,1.28,10,21,15.6,Petrol,12
63,100.1719318,279,16.7,3.2,5,6,14.9,Automatic,177,MID-SIZE,1.39,10,17,9,Petrol,15
64,64.59084456,315,18.4,3.7,5,8,18,Automatic,169,FULL-SIZE,1.55,10,19,9.5,Gas,14
65,85.70689419,225,12.6,2.4,4,4,10,Automatic,98,MINICOMPACT,1.25,10,18,7.9,Gas,28
66,93.78302904,184,6.6,1.6,5,4,6.7,Automatic,87,COMPACT,1.56,10,14,5,Gas,37
67,96.40090516,239,13,2.6,4,4,10.6,Automatic,83,MINICOMPACT,1.45,10,18,9,Gas,37
68,73.44829226,254,16.9,3.5,5,6,15,Automatic,154,FULL-SIZE,1.35,10,20,13.3,Gas,15
69,88.55234473,387,17.8,5.3,5,8,18.4,Automatic,276,COMPACT,1.47,10,19,14.7,Gas,16
70,69.95715491,328,13.4,3.7,5,6,11.6,Automatic,147,MID-SIZE,1.48,10,18,8.2,Gas,26
71,58.85344106,263,13.2,3.4,7,6,10.5,Automatic,176,PICKUP TRUCK - STANDARD,1.28,10,18,9.7,Petrol,24
72,61.75473386,168,7.1,3.3,5,6,16.8,Automatic,267,MID-SIZE,1.33,10,21,7,Petrol,36
73,94.66849229,179,6,1.5,5,4,4.8,Manual,73,MID-SIZE,1.37,10,15,6.6,Petrol,60
74,106.1262308,188,15.5,1.8,5,4,8.7,Automatic,107,COMPACT,1.33,10,21,8.4,Petrol,60
75,70.43350848,271,10.6,2.4,5,4,9.1,Automatic,117,SUV - SMALL,1.42,10,22,8.1,Petrol,32
76,55.44423624,389,28.2,6.3,5,8,25.8,Automatic,276,VAN - CARGO,1.5,10,25,9.1,Petrol,15
77,70.40772515,249,10.9,3.3,7,6,8.5,Automatic,149,MINICOMPACT,1.34,10,16,10.7,Gas,29
78,126.7542656,283,20.2,3.3,5,4,16.4,Manual,129,STATION WAGON - SMALL,1.53,10,25,9.4,Petrol,35
79,131.8587188,178,8.9,2.5,2,4,6,Automatic,96,TWO-SEATER,1.32,10,17,4.9,Gas,42
80,84.83712146,300,11.7,3.1,5,6,10.3,Automatic,164,MID-SIZE,1.42,10,19,9.7,Petrol,19
81,84.26667949,369,21.2,5.4,14,9,13.5,Automatic,248,PICKUP TRUCK - STANDARD,0.87,10,26,15.3,Petrol,16
82,96.89414669,266,21.6,4.5,5,8,18.6,Automatic,257,SUV - SMALL,1.32,10,22,15.6,Petrol,17
84,71.81759444,280,13.1,3,5,4,11.5,Manual,106,SUV - SMALL,1.41,10,21,10.5,Petrol,29
85,71.02674822,292,20.3,4.6,4,11,21,Automatic,204,SUV - STANDARD,1.54,10,19,13.5,Gas,18
86,77.261515,202,13.8,2.2,5,4,6.1,Automatic,102,COMPACT,1.2,10,17,8.5,Petrol,36
87,89.36818845,182,6.6,3.2,5,4,9,Automatic,120,MID-SIZE,1.3,10,19,6.2,Petrol,30
88,104.5242113,222,7.9,1.8,5,4,11,Automatic,113,MID-SIZE,1.41,10,21,6.6,Petrol,43
90,81.32745173,191,8,1.8,14,4,7.8,Automatic,98,COMPACT,1.33,10,20,8.6,Petrol,40
91,64.83641586,191,11.4,3.7,5,6,12.2,Automatic,187,FULL-SIZE,1.72,10,17,10.7,Gas,23
92,108.7256276,166,7,1.8,5,4,8.4,Automatic,109,COMPACT,1.45,10,19,7,Gas,45
93,99.38808741,157,6.3,1.9,5,4,6.5,Automatic,93,COMPACT,1.31,10,19,4.9,Petrol,48
95,68.60188789,289,12.4,2.5,5,6,13,Automatic,179,MID-SIZE,1.51,10,18,10.4,Petrol,23
96,90.4291379,193,8.8,1.5,5,4,10.4,Automatic,115,MID-SIZE,0.93,10,17,8.6,Petrol,30
97,58.9622754,367,11.9,3.6,13,8,12.5,Automatic,298,VAN - CARGO,1.08,10,19,13.3,Petrol,27
98,82.62883248,227,11.8,3.4,5,4,9.6,Automatic,113,SUV - SMALL,1.09,10,18,8.4,Petrol,28
99,71.67814486,366,20.5,4,5,10,16.3,Automatic,249,MINIVAN,1.6,10,21,11.3,Gas,16
100,105.6089111,222,25,5.4,2,8,18.6,Manual,281,TWO-SEATER,1.36,10,21,12.9,Gas,17
101,59.73769066,210,10.7,3.2,7,6,9.2,Automatic,144,SPECIAL PURPOSE VEHICLE,1.32,10,17,10.2,Gas,29
102,94.96587939,197,6.8,3,5,6,7.2,Automatic,86,COMPACT,1.47,10,16,6.3,Diesel,39
103,103.546638,237,12.7,2.7,4,4,6,Manual,83,MINICOMPACT,1.28,10,20,8.5,Gas,35
104,81.08926859,296,17.5,3.6,5,8,12.7,Automatic,159,MID-SIZE,1.39,10,18,8.3,Gas,25
105,96.63468974,176,7.6,1.6,15,4,8.6,Automatic,92,MID-SIZE,0.97,10,12,6,Petrol,60
106,94.79997562,246,11.6,4.6,7,8,12.4,Automatic,352,SUV - STANDARD,1.38,10,23,15.1,Petrol,18
107,63.44715821,237,20,5.5,7,12,14.9,Automatic,292,MID-SIZE,1.59,10,16,7.2,Gas,23
108,66.56902344,236,10.7,3.5,5,6,11,Automatic,150,SUV - STANDARD,1.33,10,24,10.5,Gas,15
109,75.68234718,300,16.7,4.4,5,6,18.5,Automatic,364,VAN - CARGO,1.28,10,23,9,Petrol,18
110,66.44311937,300,8.9,2.4,5,4,7.6,Automatic,115,FULL-SIZE,1.43,10,17,8.8,Petrol,22
111,74.46435936,204,5.9,2.3,13,4,6.6,Automatic,110,COMPACT,1.36,10,18,7,Petrol,57
112,77.04869588,377,11.5,2.7,5,6,23.8,Automatic,182,SUV - STANDARD,1.55,10,21,13.6,Petrol,16
113,90.15057621,218,8.2,2.3,5,4,8.2,Automatic,100,MID-SIZE,1.36,10,12,4.9,Petrol,30
114,57.64811289,168,8.4,1.5,5,4,5.3,Manual,74,MINICOMPACT,1.35,10,14,5.6,Petrol,43
115,66.91494132,272,12.7,3.5,4,6,9,Automatic,171,MID-SIZE,1.43,10,19,9.8,Petrol,24
116,64.48343912,318,13.2,5.6,5,11,12.7,Automatic,266,COMPACT,1.56,10,17,14.8,Gas,22
117,94.68318802,199,10.7,2.3,5,4,10.2,Automatic,110,SUV - STANDARD,1.34,10,17,7.5,Petrol,19
118,87.98418305,178,15,1.8,5,4,8.2,Automatic,102,MID-SIZE,1.33,10,21,8.6,Petrol,26
119,60.7876334,403,19.6,5.1,4,8,12.8,Automatic,241,MINICOMPACT,1.43,10,20,13.8,Gas,19
120,90.20253563,310,16.1,3.9,16,4,13.2,Automatic,288,STATION WAGON - MID-SIZE,1.19,10,20,10.2,Petrol,24
121,62.66952821,214,8.7,2.9,5,4,13.2,Automatic,175,SUV - SMALL,0.97,10,18,9.7,Petrol,24
122,55.84103572,355,14.2,6.2,5,8,12.1,Automatic,301,COMPACT,1.6,10,26,14.2,Gas,16
123,90.52327334,242,20.4,2.7,7,6,14.1,Automatic,172,SUV - STANDARD,1.32,10,21,10.6,Petrol,23
124,79.16314473,264,23.7,5.8,14,8,18.9,Automatic,278,PICKUP TRUCK - STANDARD,1.61,10,20,12.2,Petrol,19
125,93.18810147,200,11,1.8,4,4,8.1,Automatic,105,MINICOMPACT,1.42,10,19,9.7,Gas,30
126,75.86482653,293,10.5,2.3,5,4,9.9,Manual,109,SUBCOMPACT,1.58,10,16,6.9,Gas,26
127,95.72903427,174,9.1,1.7,4,4,9,Automatic,92,COMPACT,1.18,10,16,7.8,Gas,33
